Feature,Importance
sp500_1m_return,0.16353819444444448
shares_offered,0.1439479166666667
gross_proceeds,0.13778819444444446
log_proceeds,0.12197222222222215
offer_price,0.10995486111111116
proceeds_per_share,0.10961111111111119
price_range_deviation,0.10284374999999997
vix_level,0.0903472222222222
young_x_vc,0.08323611111111111
high_vix,0.06319444444444444
underwriter_rank,0.05339930555555554
industry_Utilities,0.04966666666666668
industry_Consumer,0.042031249999999985
implied_valuation,0.03839930555555556
net_income,0.0319861111111111
treasury_10y,0.031583333333333324
sp500_3m_return,0.027906249999999997
valuation_to_assets,0.02714930555555559
log_assets,0.025805555555555557
industry_Materials,0.022836805555555558
vc_backed,0.021819444444444443
pct_secondary,0.020861111111111108
pct_primary,0.02077083333333334
tech_x_vc,0.017753472222222226
industry_Industrial,0.01659375
revenue_to_assets,0.013274305555555558
industry_Financial,0.012281250000000006
positive_momentum,0.010593749999999997
market_volatility,0.010506944444444447
is_profitable,0.00994444444444445
industry_Energy,0.00689236111111111
is_young_firm,0.005309027777777773
is_tech,0.005194444444444441
industry_Technology,0.005170138888888887
vix_x_momentum,0.004826388888888886
industry_Healthcare,0.004517361111111112
firm_age,0.0021284722222222243
log_revenue,0.0019548611111111134
industry_Real Estate,0.000822916666666666
lockup_period,0.00022569444444444433
